Image Name,Red,Green,Blue,Cluster
apples (1).jpg,197.77754850579626,151.0753697744251,150.68133299094305,1
apples (10).jpg,208.0464267866067,179.6960019990005,179.76345993669833,1
apples (11).jpg,205.58205405405405,183.9074054054054,170.23095495495497,1
apples (12).jpg,232.16816202799478,216.82483291625977,199.5306078592936,1
apples (13).jpg,141.97320359281437,52.84409580838324,48.94478443113773,0
apples (14).jpg,133.48873866446826,110.0954091096455,65.82699556883759,2
apples (15).jpg,152.8897122574507,116.90805571933963,43.79181731078474,0
apples (16).jpg,213.3859975308642,176.81144567901234,160.7817364197531,1
apples (17).jpg,214.03496496496496,161.6848148148148,164.00748748748748,1
apples (18).jpg,200.65171624713957,180.00695860203868,149.49636987726234,1
apples (19).jpg,187.62252907549774,100.74810565740194,102.68750837768579,0
apples (2).jpg,197.6951875,168.8204875,171.37884375,1
apples (20).jpg,125.7501015625,90.85990572916667,65.85493958333333,0
apples (21).jpg,248.67117005042462,240.15194566082803,237.75654359076432,1
apples (22).jpg,233.46175536881418,214.05148459383753,195.7347899159664,1
apples (23).jpg,210.69241558441558,164.52204675324674,130.4976935064935,1
apples (24).jpg,131.55967553710937,99.245603515625,47.12221118164062,0
apples (25).jpg,186.96474262868566,118.95312343828085,96.25507246376812,0
apples (26).jpg,220.6555695442279,194.01806417301177,188.62720057097656,1
apples (27).jpg,210.13764950680027,186.73235629525502,194.8736969154492,1
apples (28).jpg,133.00359917695474,100.27224938271605,47.40108991769547,0
apples (29).jpg,210.12993418426126,178.22210815681711,177.3286726208808,1
apples (3).jpg,206.80647289735236,217.18573456944793,181.87440491104985,1
apples (30).jpg,157.8046754346141,128.86515068009746,133.1712943229721,2
apples (31).jpg,201.72872564772044,129.82125928901385,126.83935529222735,1
apples (32).jpg,145.36874643961588,89.04463195800781,62.06974665323893,0
apples (33).jpg,160.81062323095216,96.1600418784263,63.32805223228848,0
apples (34).jpg,215.07331838118023,218.0625558213716,186.87851574960126,1
apples (35).jpg,222.37908776462652,172.44229337545625,155.4040320705567,1
apples (36).jpg,223.99367262432924,196.14015295559219,181.43345164152618,1
apples (37).jpg,217.4266015625,207.1228203125,167.149178125,1
apples (38).jpg,214.23397867564535,132.49741863075195,134.79468294051628,1
apples (4).jpg,211.32725136536786,178.23970755885998,177.45827233925374,1
apples (5).jpg,172.96131777777777,142.72974,115.54288888888888,1
apples (6).jpg,225.32222588490788,154.65582714066272,143.66933557060696,1
apples (7).jpg,149.8984609709311,91.77260692679019,41.81856299669049,0
apples (8).jpg,198.2616422881711,154.8284868343575,145.223464555376,1
apples (9).jpg,218.49032898230706,221.54772619280544,176.79144422394276,1
avocados (1).jpg,136.14395691609977,112.35141156462585,68.54552721088436,2
avocados (10).jpg,176.04856476883785,190.93606192612327,148.15866232937157,1
avocados (11).jpg,220.40382008272059,219.48926499310662,185.1861443014706,1
avocados (12).jpg,178.08115161712058,175.62188152595465,159.29642887696545,1
avocados (13).jpg,200.84006118774414,207.19147109985352,193.00808461507162,1
avocados (14).jpg,188.33186350247962,177.5401975591549,102.17061032700843,1
avocados (15).jpg,215.42694602272726,203.8306778409091,128.88185170454545,1
avocados (16).jpg,201.73620689655172,180.47652332657202,59.54806085192698,1
avocados (17).jpg,162.36346247563353,150.6495979532164,135.32162524366473,1
avocados (18).jpg,48.17590494791666,93.491806640625,30.334137369791666,2
avocados (19).jpg,206.74505135182585,201.75965589887642,177.54324306530899,1
avocados (2).jpg,173.78108024654705,169.2851611581535,140.58850768381174,1
avocados (20).jpg,213.88767578125,210.131572265625,191.7532421875,1
avocados (21).jpg,40.756103515625,53.92146484375,32.1843359375,2
avocados (22).jpg,116.41813278198242,75.33986155192058,22.657546997070312,0
avocados (23).jpg,212.58679034756108,210.8805269205789,176.24091961296983,1
avocados (24).jpg,54.41458844444445,59.03519585185185,28.157863111111112,2
avocados (25).jpg,115.85463473756569,131.24378638585165,76.18711785515973,2
avocados (26).jpg,164.92987055418791,163.81882914434573,127.09443223415605,1
avocados (3).jpg,197.22702528168264,198.3393790468958,179.63971157192867,1
avocados (4).jpg,181.85819025995391,187.9439145296638,163.03438453084055,1
avocados (5).jpg,171.9358839627805,180.47360700602079,164.7295566502463,1
avocados (6).jpg,174.13772738825315,165.16450526393433,130.8789331182487,1
avocados (7).jpg,206.1552433786686,198.56544085151413,151.07700258317513,1
avocados (8).jpg,160.77664930555557,155.75862847222223,133.15541319444444,1
avocados (9).jpg,86.04293333333334,106.24658333333333,65.0871625,2
blueberries (1).jpg,96.21000798543294,118.16562271118164,142.8691749572754,2
blueberries (10).jpg,102.7721377245509,93.14504191616767,97.64550299401198,2
blueberries (11).jpg,102.81869776287473,122.17639757769881,107.68902457334468,2
blueberries (12).jpg,157.81787270652927,163.18344773411638,175.74385695849776,1
